           Word |  Frequency
          quite | 6  
            ran | 2  
           rang | 1  
         rating | 1  
          ready | 1  
         really | 4  
         reason | 2  
        regular | 1  
       remember | 2  
     remembered | 1  
     reversible | 1  
  revolutionary | 1  
          right | 6  
           road | 2  
         robert | 1  
           room | 2  
          route | 1  
            run | 1  
        running | 2  
            rye | 1  
            sad | 1  
           said | 6  
       salinger | 1  
            sat | 1  
       saturday | 1  
            saw | 1  
          saxon | 3  
            say | 1  
         saying | 2  
           says | 1  
         school | 6  
        schools | 1  
     scratching | 1  
        scrawny | 1  
         second | 2  
         secret | 2  
            see | 9  
           seen | 1  
          selma | 1  
        seniors | 1  
            she | 16 
          she'd | 1  
          short | 1  
         showed | 1  
        showing | 1  
           side | 3  
          since | 1  
            six | 1  
           slob | 1  
         smoker | 1  
             so | 4  
           some | 2  
       somebody | 1  
     somebody'd | 1  
      something | 3  
      somewhere | 1  
           soon | 2  
          sorry | 1  
           sort | 5  
        spencer | 8  
      spencer'd | 1  
      spencer's | 2  
       splendid | 2  
       standing | 3  
          start | 2  
        started | 2  
         stolen | 1  
           stop | 1  
        stories | 1  
       strictly | 1  
         struck | 1  
          stuck | 1  
          stuff | 5  
         stupid | 1  
       subjects | 1  
         subway | 1  
         sudden | 1  
       suddenly | 1  
        suicide | 1  
            sun | 1  
       supposed | 3  
              t | 1  
           take | 2  
         taught | 1  
        teacher | 2  
           team | 4  
          teams | 1  
           teat | 1  
           tell | 3  
        telling | 1  
       terrible | 1  
       terrific | 2  
   terrifically | 1  
           than | 1  
           that | 29 
         that's | 3  
            the | 79 
          their | 2  
           them | 6  
     themselves | 1  
           then | 1  
          there | 4  
        there's | 1  
          these | 2  
           they | 13 
        they're | 4  
          thing | 4  
          think | 2  
       thinking | 2  
         thirty | 1  
           this | 12 
        thomsen | 2  
          those | 2  
         though | 2  
        thought | 1  
       thousand | 2  
          three | 1  
        thurmer | 2  
       tichener | 2  
           till | 2  
           time | 4  
             to | 46 
           told | 4  
            too | 4  
            top | 2  
         touchy | 2  
         toward | 1  
          train | 1  
          truth | 2  
         trying | 1  
         turned | 1  
            two | 5  
           type | 1  
     underneath | 1  
             up | 7  
             us | 1  
            use | 1  
           used | 2  
       vacation | 2  
           very | 4  
       visiting | 1  
         visits | 1  
         waited | 1  
           want | 6  
         wanted | 1  
            war | 1  
        warning | 1  
            was | 44 
         wasn't | 6  
       watching | 1  
            way | 8  
          wayne | 1  
             we | 9  
           we'd | 2  
        wealthy | 1  
           wear | 1  
           week | 2  
           went | 1  
           were | 10 
           what | 8  
           when | 6  
          where | 4  
          while | 1  
          whole | 5  
            win | 1  
           wind | 1  
         window | 1  
        witch's | 1  
           with | 11 
          worse | 1  
          would | 1  
       wouldn't | 2  
         writer | 1  
          wrote | 2  
           year | 2  
        yelling | 1  
            yet | 1  
           york | 2  
            you | 29 
         you'll | 1  
         you've | 1  
          young | 1  
           your | 1  
        zambesi | 1  
